EC 1.1.1.1	 alcohol dehydrogenase
EC 1.14.13.145	 ent-cassa-12,15-diene 11-hydroxylase
EC 1.14.13.146	 taxoid 14beta-hydroxylase
EC 1.14.13.147	 taxoid 7beta-hydroxylase
EC 1.14.13.148	 trimethylamine monooxygenase
EC 1.14.13.149	 phenylacetyl-CoA 1,2-epoxidase
EC 1.14.13.150	 alpha-humulene 10-hydroxylase
EC 1.14.13.151	 linalool 8-monooxygenase
EC 1.14.13.152	 geraniol 8-hydroxylase
EC 1.14.13.153	 (+)-sabinene 3-hydroxylase
EC 1.14.13.154	 erythromycin 12 hydroxylase
EC 1.14.13.155	 alpha-pinene monooxygenase
EC 1.14.13.156	 1,8-cineole 2-endo-monooxygenase
EC 1.14.13.157	 1,8-cineole 2-exo-monooxygenase
EC 1.14.13.158	 amorpha-4,11-diene 12-monooxygenase
EC 1.14.13.159	 vitamin D 25-hydroxylase
EC 1.14.13.160	 (2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase
EC 1.14.13.161	 (+)-camphor 6-exo-hydroxylase
EC 1.14.13.162	 2,5-diketocamphane 1,2-monooxygenase
EC 1.14.13.163	 6-hydroxy-3-succinoylpyridine 3-monooxygenase
EC 1.14.13.164	 now EC 1.13.11.65
EC 1.14.13.165	 nitric-oxide synthase (NAD(P)H-dependent)
EC 1.14.13.166	 4-nitrocatechol 4-monooxygenase
EC 1.14.13.167	 4-nitrophenol 4-monooxygenase
EC 1.14.13.168	 indole-3-pyruvate monooxygenase
EC 1.14.13.169	 sphinganine C4-monooxygenase
EC 1.14.13.170	 pentalenolactone D synthase
EC 1.14.13.171	 neopentalenolactone D synthase
EC 1.14.13.196	 L-ornithine N5 monooxygenase
EC 1.14.14.1	 unspecific monooxygenase
EC 1.14.14.2	 deleted, included in EC 1.14.14.1
EC 1.14.14.3	 alkanal monooxygenase (FMN-linked)
EC 1.14.14.4	 deleted, identical to EC 1.14.15.7
EC 1.14.14.5	 alkanesulfonate monooxygenase
EC 1.14.14.6	 Now EC 1.14.13.111
EC 1.14.14.7	 tryptophan 7-halogenase
EC 1.14.14.8	 anthranilate 3-monooxygenase (FAD)
EC 1.14.14.9	 4-hydroxyphenylacetate 3-monooxygenase
EC 1.14.14.10	 nitrilotriacetate monooxygenase
EC 1.14.14.11	 styrene monooxygenase
EC 1.14.14.12	 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
EC 1.14.14.13	 4-(gamma-L-glutamylamino)butanoyl-(BtrI acyl-carrier protein) monooxygenase
EC 1.14.15.1	 camphor 5-monooxygenase
EC 1.14.15.2	 camphor 1,2-monooxygenase
EC 1.14.15.3	 alkane 1-monooxygenase
EC 1.14.15.4	 steroid 11b-monooxygenase
EC 1.14.15.5	 corticosterone 18-monooxygenase
EC 1.14.15.6	 cholesterol monooxygenase (side-chain-cleaving)
EC 1.14.15.7	 choline monooxygenase
EC 1.14.15.8	 steroid 15beta-monooxygenase
EC 1.14.15.9	 spheroidene monooxygenase
EC 1.14.15.10	 (+)-camphor 6-endo-hydroxylase
EC 1.14.15.11	 pentalenic acid synthase
EC 1.14.16.1	 phenylalanine 4-monooxygenase
EC 1.14.16.2	 tyrosine 3-monooxygenase
EC 1.14.16.3	 anthranilate 3-monooxygenase
EC 1.14.16.4	 tryptophan 5-monooxygenase
EC 1.14.16.5	 glyceryl-ether monooxygenase
EC 1.14.16.6	 mandelate 4-monooxygenase
EC 1.14.17.1	 dopamine b-monooxygenase
EC 1.14.17.2	 deleted, included in EC 1.14.18.1
EC 1.14.17.3	 peptidylglycine monooxygenase
EC 1.14.17.4	 aminocyclopropanecarboxylate oxidase
EC 1.14.18.1	 monophenol monooxygenase
EC 1.14.18.2	 CMP-N-acetylneuraminate monooxygenase
EC 1.14.18.3	 methane monooxygenase (particulate)
EC 1.14.19.1	 stearoyl-CoA 9-desaturase
EC 1.14.19.2	 acyl-(acyl-carrier-protein) desaturase
EC 1.14.19.3	 linoleoyl-CoA desaturase
EC 1.14.19.4	 Delta8-fatty-acid desaturase
EC 1.14.19.5	 Delta11-fatty-acid desaturase
EC 1.14.19.6	 Delta12-fatty-acid desaturase
EC 1.14.19.7	 (S)-2-hydroxypropylphosphonic acid epoxidase
EC 1.14.20.1	 deacetoxycephalosporin-C synthase
EC 1.14.20.2	 2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase
EC 1.14.21.1	 (S)-stylopine synthase
EC 1.14.21.2	 (S)-cheilanthifoline synthase
EC 1.14.21.3	 berbamunine synthase
EC 1.14.21.4	 salutaridine synthase
EC 1.14.21.5	 (S)-canadine synthase
EC 1.14.21.6	 lathosterol oxidase
EC 1.14.21.7	 biflaviolin synthase
EC 1.14.21.8	 pseudobaptigenin synthase
EC 1.14.99.1	 prostaglandin-endoperoxide synthase
EC 1.14.99.2	 kynurenine 7,8-hydroxylase
EC 1.14.99.3	 heme oxygenase (decyclizing)
EC 1.14.99.4	 progesterone monooxygenase
EC 1.14.99.5	 now EC 1.14.19.1
EC 1.14.99.6	 now EC 1.14.19.2
EC 1.14.99.7	 now EC 1.14.13.132
EC 1.14.99.8	 deleted, included in EC 1.14.14.1
EC 1.14.99.9	 steroid 17a-monooxygenase
EC 1.14.99.10	 steroid 21-monooxygenase
EC 1.14.99.11	 estradiol 6b-monooxygenase
EC 1.14.99.12	 4-androstene-3,17-dione monooxygenase
EC 1.14.99.13	 now EC 1.14.13.23
EC 1.14.99.14	 progesterone 11a-monooxygenase
EC 1.14.99.15	 4-methoxybenzoate monooxygenase (O-demethylating)
EC 1.14.99.16	 now EC 1.14.13.72
EC 1.14.99.17	 now EC 1.14.16.5
EC 1.14.99.18	 deleted
EC 1.14.99.19	 plasmanylethanolamine desaturase
EC 1.14.99.20	 phylloquinone monooxygenase (2,3-epoxidizing)
EC 1.14.99.21	 Latia-luciferin monooxygenase (demethylating)
EC 1.14.99.22	 ecdysone 20-monooxygenase
EC 1.14.99.23	 3-hydroxybenzoate 2-monooxygenase
EC 1.14.99.24	 steroid 9a-monooxygenase
EC 1.14.99.25	 now EC 1.14.19.3
EC 1.14.99.26	 2-hydroxypyridine 5-monooxygenase
EC 1.14.99.27	 juglone 3-monooxygenase
EC 1.14.99.28	 linalool 8-monooxygenase
EC 1.14.99.29	 deoxyhypusine monooxygenase
EC 1.14.99.30	 carotene 7,8-desaturase
EC 1.14.99.31	 myristoyl-CoA 11-(E) desaturase
EC 1.14.99.32	 myristoyl-CoA 11-(Z) desaturase
EC 1.14.99.33	 D12-fatty acid dehydrogenase
EC 1.14.99.34	 monoprenyl isoflavone epoxidase
EC 1.14.99.35	 thiophene-2-carbonyl-CoA monooxygenase
EC 1.14.99.36	 b-carotene 15,15'-monooxygenase
EC 1.14.99.37	 taxadiene 5a-hydroxylase
EC 1.14.99.38	 cholesterol 25-hydroxylase
EC 1.14.99.39	 ammonia monooxygenase
EC 1.14.99.40	 5,6-dimethylbenzimidazole synthase
EC 1.14.99.41	 all-trans-8'-apo-beta-carotenal 15,15'-oxygenase
EC 1.14.99.42	 zeaxanthin 7,8-dioxygenase
EC 1.14.99.43	 beta-amyrin 24-hydroxylase
EC 1.14.99.44	 diapolycopene oxygenase
EC 1.14.99.45	 carotene epsilon-monooxygenase
EC 1.14.99.46	 pyrimidine oxygenase
EC 1.14.99.47	 (+)-larreatricin hydroxylase
EC 1.15.1.1	 superoxide dismutase
EC 1.15.1.2	 superoxide reductase
EC 1.16.1.1	 mercury(II) reductase
EC 1.16.1.2	 diferric-transferrin reductase
EC 1.16.1.3	 aquacobalamin reductase
EC 1.16.1.4	 cob(II)alamin reductase
EC 1.16.1.5	 aquacobalamin reductase (NADPH)
EC 1.16.1.6	 cyanocobalamin reductase (cyanide-eliminating)
EC 1.16.1.7	 ferric-chelate reductase
EC 1.16.1.8	 (methionine synthase) reductase
EC 1.16.1.9	 ferric-chelate reductase (NADPH)
EC 1.16.3.1	 ferroxidase
EC 1.16.5.1	 ascorbate ferrireductase (transmembrane)
EC 1.16.8.1	 cob(II)yrinic acid a,c-diamide reductase
EC 1.16.9.1	 iron:rusticyanin reductase
EC 1.16.98.1	 Now EC 1.16.9.1
EC 1.17.1.1	 CDP-4-dehydro-6-deoxyglucose reductase
EC 1.17.1.2	 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EC 1.17.1.3	 leucoanthocyanidin reductase
EC 1.17.1.4	 xanthine dehydrogenase
EC 1.17.1.5	 nicotinate dehydrogenase
EC 1.17.1.6	 bile-acid 7alpha-dehydroxylase
EC 1.17.1.7	 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
EC 1.17.2.1	 nicotinate dehydrogenase (cytochrome)
EC 1.17.2.2	 lupanine 17-hydroxylase (cytochrome c)
EC 1.17.3.1	 pteridine oxidase
EC 1.17.3.2	 xanthine oxidase
EC 1.17.3.3	 6-hydroxynicotinate dehydrogenase
EC 1.17.4.1	 ribonucleoside-diphosphate reductase
EC 1.17.4.2	 ribonucleoside-triphosphate reductase
EC 1.17.4.3	 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
EC 1.17.5.1	 phenylacetyl-CoA dehydrogenase
EC 1.17.5.2	 caffeine dehydrogenase
EC 1.17.7.1	 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
EC 1.17.7.2	 7-hydroxymethyl chlorophyll a reductase
EC 1.17.99.1	 4-cresol dehydrogenase (hydroxylating)
EC 1.17.99.2	 ethylbenzene hydroxylase
EC 1.17.99.3	 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase
EC 1.17.99.4	 uracil/thymine dehydrogenase
EC 1.17.99.5	 bile-acid 7alpha-dehydroxylase
EC 1.18.1.1	 rubredoxin—NAD+ reductase
EC 1.18.1.2	 ferredoxin—NADP+ reductase
EC 1.18.1.3	 ferredoxin—NAD+ reductase
EC 1.18.1.4	 rubredoxin—NAD(P)+ reductase
EC 1.18.1.5	 Putidaredoxin—NAD+ reductase
EC 1.18.1.6	 adrenodoxin-NADP+ reductase
EC 1.18.2.1	 now EC 1.18.6.1
EC 1.18.3.1	 now EC 1.18.99.1
EC 1.18.6.1	 nitrogenase
EC 1.18.96.1	 now EC 1.15.1.2
EC 1.18.99.1	 now EC 1.12.7.2
EC 1.19.6.1	 nitrogenase (flavodoxin)
EC 1.20.1.1	 phosphonate dehydrogenase
EC 1.20.2.1	 arsenate reductase (cytochrome c)
EC 1.20.4.1	 arsenate reductase (glutaredoxin)
EC 1.20.4.2	 methylarsonate reductase
EC 1.20.4.3	 mycoredoxin
EC 1.20.9.1	 arsenate reductase (azurin)
EC 1.20.98.1	 Now EC 1.20.9.1
EC 1.20.99.1	 arsenate reductase (donor)
EC 1.21.3.1	 isopenicillin-N synthase
EC 1.21.3.2	 columbamine oxidase
EC 1.21.3.3	 reticuline oxidase
EC 1.21.3.4	 sulochrin oxidase ((+)-bisdechlorogeodin-forming)
EC 1.21.3.5	 sulochrin oxidase ((-)-bisdechlorogeodin-forming)
EC 1.21.3.6	 aureusidin synthase
EC 1.21.3.7	 tetrahydrocannabinolic acid synthase
EC 1.21.3.8	 cannabidiolic acid synthase
EC 1.21.4.1	 D-proline reductase (dithiol)
EC 1.21.4.2	 glycine reductase
EC 1.21.4.3	 sarcosine reductase
EC 1.21.4.4	 betaine reductase
EC 1.21.99.1	 b-cyclopiazonate dehydrogenase
EC 1.22.1.1	 iodotyrosine deiodinase
EC 1.97.1.1	 chlorate reductase
EC 1.97.1.2	 pyrogallol hydroxytransferase
EC 1.97.1.3	 sulfur reductase
EC 1.97.1.4	 (formate-C-acetyltransferase)-activating enzyme
EC 1.97.1.5	 now *EC 1.20.4.1
EC 1.97.1.6	 now *EC 1.20.99.1
EC 1.97.1.7	 now *EC 1.20.4.2
EC 1.97.1.8	 tetrachloroethene reductive dehalogenase
EC 1.97.1.9	 selenate reductase
EC 1.97.1.10	 thyroxine 5'-deiodinase
EC 1.97.1.11	 thyroxine 5-deiodinase
EC 1.97.1.12	 photosystem I
EC 1.98.1.1	 now EC 1.18.99.1
EC 1.99.1.1	 deleted, now *EC 1.14.14.1
EC 1.99.1.2	 deleted, now *EC 1.14.16.1
EC 1.99.1.3	 deleted
EC 1.99.1.4	 deleted
EC 1.99.1.5	 deleted, now *EC 1.14.13.9
EC 1.99.1.6	 deleted
EC 1.99.1.7	 deleted, now *EC 1.14.15.4
EC 1.99.1.8	 deleted
EC 1.99.1.9	 deleted, now *EC 1.14.99.9
EC 1.99.1.10	 deleted
EC 1.99.1.11	 deleted, now *EC 1.14.99.10
EC 1.99.1.12	 deleted
EC 1.99.1.13	 deleted, covered by *EC 1.14.99.7 and *EC 5.4.99.7
EC 1.99.1.14	 deleted, now *EC 1.13.11.27
EC 1.99.2.1	 deleted, now *EC 1.13.11.12
EC 1.99.2.2	 deleted, now *EC 1.13.11.1
EC 1.99.2.3	 deleted, now *EC 1.13.11.3
EC 1.99.2.4	 deleted, now *EC 1.13.11.4
EC 1.99.2.5	 deleted, now *EC 1.13.11.5
EC 1.99.2.6	 deleted, now *EC 1.13.99.1
