EC 2.1.1.1	 nicotinamide N-methyltransferase
EC 2.7.1.160	 2'-phosphotransferase
EC 2.7.1.161	 CTP-dependent riboflavin kinase
EC 2.7.1.162	 N-acetylhexosamine 1-kinase
EC 2.7.1.163	 hygromycin B 4-O-kinase
EC 2.7.1.164	 O-phosphoseryl-tRNASec kinase
EC 2.7.1.165	 glycerate 2-kinase
EC 2.7.1.166	 3-deoxy-D-manno-octulosonic acid kinase
EC 2.7.1.167	 D-glycero-beta-D-manno-heptose-7-phosphate kinase
EC 2.7.1.168	 D-glycero-alpha-D-manno-heptose-7-phosphate kinase
EC 2.7.1.169	 pantoate kinase
EC 2.7.1.170	 anhydro-N-acetylmuramic acid kinase
EC 2.7.1.171	 protein-fructosamine 3-kinase
EC 2.7.1.172	 protein-ribulosamine 3-kinase
EC 2.7.1.173	 nicotinate riboside kinase
EC 2.7.1.174	 diacylglycerol kinase (CTP dependent)
EC 2.7.1.175	 maltokinase
EC 2.7.1.176	 UDP-N-acetylglucosamine kinase
EC 2.7.1.177	 L-threonine kinase
EC 2.7.2.1	 acetate kinase
EC 2.7.2.2	 carbamate kinase
EC 2.7.2.3	 phosphoglycerate kinase
EC 2.7.2.4	 aspartate kinase
EC 2.7.2.5	 now EC 6.3.4.16
EC 2.7.2.6	 formate kinase
EC 2.7.2.7	 butyrate kinase
EC 2.7.2.8	 acetylglutamate kinase
EC 2.7.2.9	 now EC 6.3.5.5
EC 2.7.2.10	 phosphoglycerate kinase (GTP)
EC 2.7.2.11	 glutamate 5-kinase
EC 2.7.2.12	 acetate kinase (diphosphate)
EC 2.7.2.13	 glutamate 1-kinase
EC 2.7.2.14	 branched-chain-fatty-acid kinase
EC 2.7.2.15	 propionate kinase
EC 2.7.3.1	 guanidinoacetate kinase
EC 2.7.3.2	 creatine kinase
EC 2.7.3.3	 arginine kinase
EC 2.7.3.4	 taurocyamine kinase
EC 2.7.3.5	 lombricine kinase
EC 2.7.3.6	 hypotaurocyamine kinase
EC 2.7.3.7	 opheline kinase
EC 2.7.3.8	 ammonia kinase
EC 2.7.3.9	 Phosphoenolpyruvate-protein phosphotransferase
EC 2.7.3.10	 agmatine kinase
EC 2.7.3.11	 now EC 2.7.13.1
EC 2.7.3.12	 now EC 2.7.13.2
EC 2.7.4.1	 polyphosphate kinase
EC 2.7.4.2	 phosphomevalonate kinase
EC 2.7.4.3	 adenylate kinase
EC 2.7.4.4	 nucleoside-phosphate kinase
EC 2.7.4.5	 deleted, included in EC 2.7.4.14
EC 2.7.4.6	 nucleoside-diphosphate kinase
EC 2.7.4.7	 phosphomethylpyrimidine kinase
EC 2.7.4.8	 guanylate kinase
EC 2.7.4.9	 dTMP kinase
EC 2.7.4.10	 nucleoside-triphosphate-adenylate kinase
EC 2.7.4.11	 (deoxy)adenylate kinase
EC 2.7.4.12	 T2-induced deoxynucleotide kinase
EC 2.7.4.13	 (deoxy)nucleoside-phosphate kinase
EC 2.7.4.14	 cytidylate kinase
EC 2.7.4.15	 thiamine-diphosphate kinase
EC 2.7.4.16	 thiamine-phosphate kinase
EC 2.7.4.17	 3-phosphoglyceroyl-phosphate—polyphosphate phosphotransferase
EC 2.7.4.18	 farnesyl-diphosphate kinase
EC 2.7.4.19	 5-methyldeoxycytidine-5'-phosphate kinase
EC 2.7.4.20	 dolichyl-diphosphate—polyphosphate phosphotransferase
EC 2.7.4.21	 inositol-hexakisphosphate kinase
EC 2.7.4.22	 UMP kinase
EC 2.7.4.23	 ribose 1,5-bisphosphate phosphokinase
EC 2.7.4.24	 diphosphoinositol-pentakisphosphate kinase
EC 2.7.4.25	 (d)CMP kinase
EC 2.7.4.26	 isopentenyl phosphate kinase
EC 2.7.4.27	 (pyruvate, phosphate dikinase)-phosphate phosphotransferase
EC 2.7.4.28	 (pyruvate, water dikinase)-phosphate phosphotransferase
EC 2.7.5.1	 now EC 5.4.2.2
EC 2.7.5.2	 now EC 5.4.2.3
EC 2.7.5.3	 now EC 5.4.2.1
EC 2.7.5.4	 now EC 5.4.2.4
EC 2.7.5.5	 now EC 5.4.2.5
EC 2.7.5.6	 now EC 5.4.2.7
EC 2.7.5.7	 now EC 5.4.2.8
EC 2.7.6.1	 ribose-phosphate diphosphokinase
EC 2.7.6.2	 thiamine diphosphokinase
EC 2.7.6.3	 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
EC 2.7.6.4	 nucleotide diphosphokinase
EC 2.7.6.5	 GTP diphosphokinase
EC 2.7.7.1	 nicotinamide-nucleotide adenylyltransferase
EC 2.7.7.2	 FMN adenylyltransferase
EC 2.7.7.3	 pantetheine-phosphate adenylyltransferase
EC 2.7.7.4	 sulfate adenylyltransferase
EC 2.7.7.5	 sulfate adenylyltransferase (ADP)
EC 2.7.7.6	 DNA-directed RNA polymerase
EC 2.7.7.7	 DNA-directed DNA polymerase
EC 2.7.7.8	 polyribonucleotide nucleotidyltransferase
EC 2.7.7.9	 glucose-1-phosphate uridylyltransferase
EC 2.7.7.10	 UTP-hexose-1-phosphate uridylyltransferase
EC 2.7.7.11	 UTP-xylose-1-phosphate uridylyltransferase
EC 2.7.7.12	 galactose-1-phosphate uridylyltransferase
EC 2.7.7.13	 mannose-1-phosphate guanylyltransferase
EC 2.7.7.14	 ethanolamine-phosphate cytidylyltransferase
EC 2.7.7.15	 choline-phosphate cytidylyltransferase
EC 2.7.7.16	 now EC 3.1.27.5
EC 2.7.7.17	 now EC 3.1.27.1
EC 2.7.7.18	 nicotinate-nucleotide adenylyltransferase
EC 2.7.7.19	 polynucleotide adenylyltransferase
EC 2.7.7.20	 deleted
EC 2.7.7.21	 Now EC 2.7.7.72, CCA tRNA nucleotidyltransferase
EC 2.7.7.22	 mannose-1-phosphate guanylyltransferase (GDP)
EC 2.7.7.23	 UDP-N-acetylglucosamine diphosphorylase
EC 2.7.7.24	 glucose-1-phosphate thymidylyltransferase
EC 2.7.7.25	 tRNA adenylyltransferase
EC 2.7.7.26	 now EC 3.1.27.3
EC 2.7.7.27	 glucose-1-phosphate adenylyltransferase
EC 2.7.7.28	 nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase
EC 2.7.7.29	 identical to EC 2.7.7.28
EC 2.7.7.30	 fucose-1-phosphate guanylyltransferase
EC 2.7.7.31	 DNA nucleotidylexotransferase
EC 2.7.7.32	 galactose-1-phosphate thymidylyltransferase
EC 2.7.7.33	 glucose-1-phosphate cytidylyltransferase
EC 2.7.7.34	 glucose-1-phosphate guanylyltransferase
EC 2.7.7.35	 ribose-5-phosphate adenylyltransferase
EC 2.7.7.36	 aldose-1-phosphate adenylyltransferase
EC 2.7.7.37	 aldose-1-phosphate nucleotidyltransferase
EC 2.7.7.38	 3-deoxy-manno-octulosonate cytidylyltransferase
EC 2.7.7.39	 glycerol-3-phosphate cytidylyltransferase
EC 2.7.7.40	 D-ribitol-5-phosphate cytidylyltransferase
EC 2.7.7.41	 phosphatidate cytidylyltransferase
EC 2.7.7.42	 (glutamate—ammonia-ligase) adenylyltransferase
EC 2.7.7.43	 N-acylneuraminate cytidylyltransferase
EC 2.7.7.44	 glucuronate-1-phosphate uridylyltransferase
EC 2.7.7.45	 guanosine-triphosphate guanylyltransferase
EC 2.7.7.46	 gentamicin 2"-nucleotidyltransferase
EC 2.7.7.47	 streptomycin 3"-adenylyltransferase
EC 2.7.7.48	 RNA-directed RNA polymerase
EC 2.7.7.49	 RNA-directed DNA polymerase
EC 2.7.7.50	 mRNA guanylyltransferase
EC 2.7.7.51	 adenylyl-sulfate—ammonia adenylyltransferase
EC 2.7.7.52	 RNA uridylyltransferase
EC 2.7.7.53	 ATP adenylyltransferase
EC 2.7.7.54	 phenylalanine adenylyltransferase
EC 2.7.7.55	 anthranilate adenylyltransferase
EC 2.7.7.56	 tRNA nucleotidyltransferase
EC 2.7.7.57	 N-methylphosphoethanolamine cytidylyltransferase
EC 2.7.7.58	 (2,3-dihydroxybenzoyl)adenylate synthase
EC 2.7.7.59	 (protein-PII) uridylyltransferase
EC 2.7.7.60	 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EC 2.7.7.61	 holo-ACP synthase
EC 2.7.7.62	 adenosylcobinamide-phosphate guanylyltransferase
EC 2.7.7.63	 lipoate---protein ligase
EC 2.7.7.64	 UTP-monosaccharide-1-phosphate uridylyltransferase
EC 2.7.7.65	 diguanylate cyclase
EC 2.7.7.66	 malonate decarboxylase holo-(acyl-carrier protein) synthase
EC 2.7.7.67	 CDP-archaeol synthase
EC 2.7.7.68	 2-phospho-L-lactate guanylyltransferase
EC 2.7.7.69	 GDP-L-galactose phosphorylase
EC 2.7.7.70	 D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
EC 2.7.7.71	 D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
EC 2.7.7.72	 CCA tRNA nucleotidyltransferase
EC 2.7.7.73	 sulfur carrier protein ThiS adenylyltransferase
EC 2.7.7.74	 1L-myo-inositol 1-phosphate cytidylyltransferase
EC 2.7.7.75	 molybdopterin adenylyltransferase
EC 2.7.7.76	 molybdenum cofactor cytidylyltransferase
EC 2.7.7.77	 molybdenum cofactor guanylyltransferase
EC 2.7.7.78	 GDP-D-glucose phosphorylase
EC 2.7.7.79	 tRNAHis guanylyltransferase
EC 2.7.7.80	 molybdopterin-synthase adenylyltransferase
EC 2.7.7.81	 pseudaminic acid cytidylyltransferase
EC 2.7.7.82	 CMP-N,N'-diacetyllegionaminic acid synthase
EC 2.7.7.83	 UDP-N-acetylgalactosamine diphosphorylase
EC 2.7.7.85	 diadenylate cyclase
EC 2.7.7.86	 cyclic GMP-AMP synthase
EC 2.7.8.1	 diacylglycerol ethanolaminephosphotransferase
EC 2.7.8.2	 diacylglycerol cholinephosphotransferase
EC 2.7.8.3	 ceramide cholinephosphotransferase
EC 2.7.8.4	 serine ethanolaminephosphotransferase
EC 2.7.8.5	 CDP-diacylglycerol—glycerol-3-phosphate 3-phosphatidyltransferase
EC 2.7.8.6	 undecaprenyl-phosphate galactose phosphotransferase
EC 2.7.8.7	 holo-(acyl-carrier-protein) synthase
EC 2.7.8.8	 CDP-diacylglycerol—serine O-phosphatidyltransferase
EC 2.7.8.9	 phosphomannan mannosephosphotransferase
EC 2.7.8.10	 sphingosine cholinephosphotransferase
EC 2.7.8.11	 CDP-diacylglycerol—inositol 3-phosphatidyltransferase
EC 2.7.8.12	 CDP-glycerol glycerophosphotransferase
EC 2.7.8.13	 phospho-N-acetylmuramoyl-pentapeptide-transferase
EC 2.7.8.14	 CDP-ribitol ribitolphosphotransferase
EC 2.7.8.15	 UDP-N-acetylglucosamine—dolichyl-phosphate N-acetylglucosaminephosphotransferase
EC 2.7.8.16	 deleted, included in EC 2.7.8.2
EC 2.7.8.17	 UDP-N-acetylglucosamine—lysosomal-enzyme N-acetylglucosaminephosphotransferase
EC 2.7.8.18	 UDP-galactose—UDP-N-acetylglucosamine galactose phosphotransferase
EC 2.7.8.19	 UDP-glucose—glycoprotein glucose phosphotransferase
EC 2.7.8.20	 phosphatidylglycerol—membrane-oligosaccharide glycerophosphotransferase
EC 2.7.8.21	 membrane-oligosaccharide glycerophosphotransferase
EC 2.7.8.22	 1-alkenyl-2-acylglycerol choline phosphotransferase
EC 2.7.8.23	 carboxyvinyl-carboxyphosphonate phosphorylmutase
EC 2.7.8.24	 CDP-diacylglycerol—choline O-phosphatidyltransferase
EC 2.7.8.25	 triphosphoribosyl-dephospho-CoA synthase
EC 2.7.8.26	 adenosylcobinamide-GDP ribazoletransferase
EC 2.7.8.27	 sphingomyelin synthase
EC 2.7.8.28	 2-phospho-L-lactate transferase
EC 2.7.8.29	 L-serine-phosphatidylethanolamine phosphatidyltransferase
EC 2.7.8.30	 undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EC 2.7.8.31	 undecaprenyl-phosphate glucose phosphotransferase
EC 2.7.8.32	 3-O-alpha-D-mannopyranosyl-alpha-D-mannopyranose xylosylphosphotransferase
EC 2.7.8.33	 UDP-N-acetylglucosamine---undecaprenyl-phosphate N-acetylglucosaminephosphotransferase
EC 2.7.8.34	 CDP-L-myo-inositol myo-inositolphosphotransferase
EC 2.7.8.35	 UDP-N-acetylglucosamine---decaprenyl-phosphate N-acetylglucosaminephosphotransferase
EC 2.7.8.36	 undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
EC 2.7.8.37	 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase
EC 2.7.9.1	 pyruvate, phosphate dikinase
EC 2.7.9.2	 pyruvate, water dikinase
EC 2.7.9.3	 selenide, water dikinase
EC 2.7.9.4	 a-glucan, water dikinase
EC 2.7.9.5	 phosphoglucan, water dikinase
EC 2.7.10.1	 receptor protein-tyrosine kinase
EC 2.7.10.2	 non-specific protein-tyrosine kinase
EC 2.7.11.1	 non-specific serine/threonine protein kinase
EC 2.7.11.2	 (pyruvate dehydrogenase (acetyl-transferring)) kinase
EC 2.7.11.3	 dephospho-(reductase kinase) kinase
EC 2.7.11.4	 (3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)) kinase
EC 2.7.11.5	 (isocitrate dehydrogenase (NADP+)) kinase
EC 2.7.11.6	 (tyrosine 3-monooxygenase) kinase
EC 2.7.11.7	 myosin-heavy-chain kinase
EC 2.7.11.8	 Fas-activated serine/threonine kinase
EC 2.7.11.9	 Goodpasture-antigen-binding protein kinase
EC 2.7.11.10	 IkB kinase
EC 2.7.11.11	 cAMP-dependent protein kinase
EC 2.7.11.12	 cGMP-dependent protein kinase
EC 2.7.11.13	 protein kinase C
EC 2.7.11.14	 rhodopsin kinase
EC 2.7.11.15	 b-adrenergic-receptor kinase
EC 2.7.11.16	 G-protein-coupled receptor kinase
EC 2.7.11.17	 Ca2+/calmodulin-dependent protein kinase
EC 2.7.11.18	 myosin-light-chain kinase
EC 2.7.11.19	 phosphorylase kinase
EC 2.7.11.20	 elongation factor 2 kinase
EC 2.7.11.21	 polo kinase
EC 2.7.11.22	 cyclin-dependent kinase
EC 2.7.11.23	 (RNA-polymerase)-subunit kinase
EC 2.7.11.24	 mitogen-activated protein kinase
EC 2.7.11.25	 mitogen-activated protein kinase kinase kinase
EC 2.7.11.26	 tau-protein kinase
EC 2.7.11.27	 (acetyl-CoA carboxylase) kinase
EC 2.7.11.28	 tropomyosin kinase
EC 2.7.11.29	 low-density-lipoprotein receptor kinase
EC 2.7.11.30	 receptor protein serine/threonine kinase
EC 2.7.11.31	 (hydroxymethylglutaryl-CoA reductase (NADPH)) kinase
EC 2.7.11.32	 (pyruvate, phosphate dikinase) kinase
EC 2.7.11.33	 (pyruvate, water dikinase) kinase
EC 2.7.12.1	 dual-specificity kinase
EC 2.7.12.2	 mitogen-activated protein kinase kinase
EC 2.7.13.1	 protein-histidine pros-kinase
EC 2.7.13.2	 protein-histidine tele-kinase
EC 2.7.13.3	 histidine kinase
EC 2.7.99.1	 triphosphate-protein phosphotransferase
EC 2.8.1.1	 thiosulfate sulfurtransferase
EC 2.8.1.2	 3-mercaptopyruvate sulfurtransferase
EC 2.8.1.3	 thiosulfate—thiol sulfurtransferase
EC 2.8.1.4	 tRNA sulfurtransferase
EC 2.8.1.5	 thiosulfate—dithiol sulfurtransferase
EC 2.8.1.6	 biotin synthase
EC 2.8.1.7	 cysteine desulfurase
EC 2.8.1.8	 lipoyl synthase
EC 2.8.1.9	 molybdenum cofactor sulfurtransferase
EC 2.8.1.10	 thiazole synthase
EC 2.8.1.11	 molybdopterin synthase sulfurtransferase
EC 2.8.1.12	 molybdopterin synthase
EC 2.8.2.1	 aryl sulfotransferase
EC 2.8.2.2	 alcohol sulfotransferase
EC 2.8.2.3	 amine sulfotransferase
EC 2.8.2.4	 estrone sulfotransferase
EC 2.8.2.5	 chondroitin 4-sulfotransferase
EC 2.8.2.6	 choline sulfotransferase
EC 2.8.2.7	 UDP-N-acetylgalactosamine-4-sulfate sulfotransferase
EC 2.8.2.8	 (heparan sulfate)-glucosamine N-sulfotransferase
EC 2.8.2.9	 tyrosine-ester sulfotransferase
EC 2.8.2.10	 Renilla-luciferin sulfotransferase
EC 2.8.2.11	 galactosylceramide sulfotransferase
EC 2.8.2.12	 deleted, identical to EC 2.8.2.8
EC 2.8.2.13	 psychosine sulfotransferase
EC 2.8.2.14	 bile salt sulfotransferase
EC 2.8.2.15	 steroid sulfotransferase
EC 2.8.2.16	 thiol sulfotransferase
EC 2.8.2.17	 chondroitin 6-sulfotransferase
EC 2.8.2.18	 cortisol sulfotransferase
EC 2.8.2.19	 triglucosylalkylacylglycerol sulfotransferase
EC 2.8.2.20	 protein-tyrosine sulfotransferase
EC 2.8.2.21	 keratan sulfotransferase
EC 2.8.2.22	 aryl-sulfate sulfotransferase
EC 2.8.2.23	 (heparan sulfate)-glucosamine 3-sulfotransferase 1
EC 2.8.2.24	 desulfoglucosinolate sulfotransferase
EC 2.8.2.25	 flavonol 3-sulfotransferase
EC 2.8.2.26	 quercetin-3-sulfate 3'-sulfotransferase
EC 2.8.2.27	 quercetin-3-sulfate 4'-sulfotransferase
EC 2.8.2.28	 quercetin-3,3'-bissulfate 7-sulfotransferase
EC 2.8.2.29	 (heparan sulfate)-glucosamine 3-sulfotransferase 2
EC 2.8.2.30	 (heparan sulfate)-glucosamine 3-sulfotransferase 3
EC 2.8.2.31	 petromyzonol sulfotransferase
EC 2.8.2.32	 scymnol sulfotransferase
EC 2.8.2.33	 N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase
EC 2.8.2.34	 glycochenodeoxycholate sulfotransferase
EC 2.8.2.35	 dermatan 4-sulfotransferase
EC 2.8.3.1	 propionate CoA-transferase
EC 2.8.3.2	 oxalate CoA-transferase
EC 2.8.3.3	 malonate CoA-transferase
EC 2.8.3.4	 deleted
EC 2.8.3.5	 3-oxoacid CoA-transferase
EC 2.8.3.6	 3-oxoadipate CoA-transferase
EC 2.8.3.7	 succinate—citramalate CoA-transferase
EC 2.8.3.8	 acetate CoA-transferase
EC 2.8.3.9	 butyrate—acetoacetate CoA-transferase
EC 2.8.3.10	 citrate CoA-transferase
EC 2.8.3.11	 citramalate CoA-transferase
EC 2.8.3.12	 glutaconate CoA-transferase
EC 2.8.3.13	 succinate—hydroxymethylglutarate CoA-transferase
EC 2.8.3.14	 5-hydroxypentanoate CoA-transferase
EC 2.8.3.15	 succinyl-CoA:(R)-benzylsuccinate CoA-transferase
EC 2.8.3.16	 formyl-CoA transferase
EC 2.8.3.17	 cinnamoyl-CoA:phenyllactate CoA-transferase
EC 2.8.4.1	 coenzyme-B sulfoethylthiotransferase
EC 2.8.4.2	 arsenate-mycothiol transferase
EC 2.9.1.1	 L-seryl-tRNASec selenium transferase
EC 2.9.1.2	 O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
EC 2.10.1.1	 molybdopterin molybdotransferase
